Date;Open;Close;Chg %;
2019-02-28;10865.7;10792.5;0.67;
2019-03-28;11463.65;11570.0;0.93;
2019-04-25;11735.7;11641.8;0.8;
2019-05-30;11865.3;11945.9;0.68;
2019-06-27;11860.85;11841.55;0.16;
2019-07-25;11290.4;11252.15;0.34;
2019-08-29;10996.05;10948.3;0.43;
2019-09-26;11469.85;11571.2;0.88;
2019-10-31;11890.45;11877.45;0.11;
2019-11-28;12132.1;12151.15;0.16;
2019-12-26;12211.85;12126.55;0.7;
2020-01-30;12147.75;12035.8;0.92;
2020-02-27;11661.25;11633.3;0.24;
2020-03-26;8451.0;8641.45;2.25;
2020-04-30;9753.5;9859.9;1.09;
2020-05-28;9364.95;9490.1;1.34;
2020-06-25;10235.55;10288.9;0.52;
2020-07-30;11254.3;11102.15;1.35;
2020-08-27;11609.3;11559.25;0.43;
2020-09-24;11011.0;10805.55;1.87;
2020-10-29;11633.3;11670.8;0.32;
2020-11-26;12906.45;12987.0;0.62;
2020-12-31;13970.0;13981.75;0.08;
2021-01-28;13810.4;13817.55;0.05;
2021-02-25;15079.85;15097.35;0.12;
2021-03-25;14570.9;14324.9;1.69;
2021-04-29;14979.0;14894.9;0.56;
2021-05-27;15323.95;15337.85;0.09;
