"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2003","EQ","985.00","993.00","980.00","983.85","982.00","983.50","987.50","1,039.40","560.00",356391,"351,936,948.80",
"30-Dec-2003","EQ","997.10","1,008.00","975.00","995.00","983.50","983.85","998.92","1,039.40","560.00",496643,"496,106,566.55",
"29-Dec-2003","EQ","987.00","1,012.00","973.05","975.05","995.00","995.00","996.63","1,039.40","560.00",493883,"492,217,760.95",
"26-Dec-2003","EQ","985.00","993.00","968.00","976.90","975.00","975.05","978.26","1,039.40","560.00",213136,"208,503,445.55",
"24-Dec-2003","EQ","994.00","994.00","968.25","975.45","977.00","976.90","974.38","1,039.40","560.00",391314,"381,287,129.45",
"23-Dec-2003","EQ","990.00","994.00","971.00","986.70","975.10","975.45","984.49","1,039.40","560.00",168865,"166,246,493.55",
"22-Dec-2003","EQ","993.00","994.00","981.50","988.30","984.50","986.70","988.86","1,039.40","560.00",134494,"132,995,965.50",
"19-Dec-2003","EQ","1,003.00","1,011.00","982.05","987.65","984.00","988.30","995.93","1,039.40","560.00",311766,"310,498,064.35",
"18-Dec-2003","EQ","1,015.00","1,015.00","985.05","1,012.70","989.75","987.65","990.80","1,039.40","560.00",361594,"358,268,765.60",
"17-Dec-2003","EQ","1,036.00","1,036.00","1,001.05","1,031.95","1,009.00","1,012.70","1,017.53","1,039.40","560.00",388411,"395,220,448.80",
"16-Dec-2003","EQ","997.00","1,039.40","983.00","994.75","1,033.00","1,031.95","1,017.76","998.90","560.00",753296,"766,671,883.20",
"15-Dec-2003","EQ","970.00","998.90","969.05","966.85","996.50","994.75","987.99","989.80","560.00",296751,"293,185,681.40",
"12-Dec-2003","EQ","935.05","975.00","923.10","973.15","969.45","966.85","962.06","989.80","560.00",246274,"236,931,572.45",
"11-Dec-2003","EQ","980.00","984.00","950.00","978.15","973.00","973.15","963.66","989.80","560.00",415834,"400,720,984.80",
"10-Dec-2003","EQ","960.00","989.80","955.00","949.60","985.00","978.15","971.65","955.00","560.00",914952,"889,009,434.30",
"09-Dec-2003","EQ","915.00","955.00","915.00","913.05","951.50","949.60","933.99","932.00","560.00",797625,"744,972,345.50",
"08-Dec-2003","EQ","907.40","922.95","907.00","910.70","914.50","913.05","915.87","932.00","560.00",380816,"348,777,982.30",
"05-Dec-2003","EQ","905.00","932.00","905.00","899.85","909.05","910.70","920.20","912.00","560.00",765510,"704,420,547.80",
"04-Dec-2003","EQ","877.00","909.90","874.50","875.25","900.00","899.85","894.90","912.00","560.00",576507,"515,913,351.30",
"03-Dec-2003","EQ","878.00","893.00","871.10","876.80","879.00","875.25","880.51","912.00","560.00",367222,"323,342,024.70",
"02-Dec-2003","EQ","875.00","886.00","868.15","871.85","876.45","876.80","876.92","912.00","560.00",322021,"282,385,073.80",
"01-Dec-2003","EQ","869.00","875.00","857.00","857.45","873.70","871.85","866.78","912.00","560.00",408984,"354,499,452.80",
"28-Nov-2003","EQ","850.00","867.90","850.00","855.25","855.00","857.45","859.61","912.00","560.00",255399,"219,542,704.05",
"27-Nov-2003","EQ","855.10","864.00","846.00","855.35","850.00","855.25","858.10","912.00","560.00",427391,"366,742,109.50",
"25-Nov-2003","EQ","864.90","866.95","851.50","859.80","852.05","855.35","857.65","912.00","560.00",194250,"166,597,851.40",
