"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2001","EQ","666.00","684.90","666.00","660.80","676.05","677.60","674.88","960.00","573.50",225101,"151,917,119.55",
"28-Dec-2001","EQ","664.00","666.95","660.00","666.05","661.10","660.80","661.04","960.00","573.50",166930,"110,348,176.85",
"27-Dec-2001","EQ","674.00","674.00","664.00","670.25","665.00","666.05","667.59","960.00","573.50",131132,"87,541,978.80",
"26-Dec-2001","EQ","674.00","680.00","667.15","668.85","669.00","670.25","671.74","960.00","573.50",112322,"75,451,554.80",
"24-Dec-2001","EQ","708.90","708.90","656.00","664.90","671.50","668.85","666.48","960.00","573.50",122724,"81,792,922.55",
"21-Dec-2001","EQ","678.00","680.00","655.30","678.55","663.00","664.90","663.17","960.00","573.50",267490,"177,391,345.50",
"20-Dec-2001","EQ","671.00","683.40","668.20","670.55","678.00","678.55","675.78","960.00","573.50",132542,"89,568,591.80",
"19-Dec-2001","EQ","685.00","685.00","667.50","678.15","671.05","670.55","672.47","960.00","573.50",280426,"188,577,861.90",
"18-Dec-2001","EQ","692.50","692.50","672.05","686.30","677.60","678.15","679.25","960.00","573.50",257783,"175,099,448.50",
"14-Dec-2001","EQ","695.00","696.50","681.50","690.70","686.05","686.30","685.59","960.00","573.50",244341,"167,517,675.95",
"13-Dec-2001","EQ","690.00","697.70","670.00","685.15","691.25","690.70","686.03","960.00","573.50",624655,"428,532,272.95",
"12-Dec-2001","EQ","705.00","709.00","679.00","703.80","682.10","685.15","691.66","960.00","573.50",1028580,"711,423,557.90",
"11-Dec-2001","EQ","712.95","722.00","700.60","713.60","703.00","703.80","711.27","960.00","573.50",331952,"236,108,185.20",
"10-Dec-2001","EQ","709.40","717.60","701.25","708.20","713.95","713.60","710.10","960.00","573.50",281599,"199,964,666.50",
"07-Dec-2001","EQ","721.05","742.40","699.10","720.20","706.00","708.20","726.63","960.00","573.50",966129,"702,020,778.05",
"06-Dec-2001","EQ","720.00","731.90","708.30","711.55","720.00","720.20","721.05","960.00","573.50",770890,"555,848,300.15",
"05-Dec-2001","EQ","705.00","720.45","705.00","701.60","709.00","711.55","713.52","960.00","573.50",542332,"386,963,952.85",
"04-Dec-2001","EQ","684.90","707.70","684.00","680.15","701.90","701.60","698.02","960.00","573.50",660446,"461,001,357.65",
"03-Dec-2001","EQ","669.00","686.80","666.75","667.30","680.00","680.15","679.71","960.00","573.50",569234,"386,912,043.85",
"29-Nov-2001","EQ","669.00","679.00","660.00","666.95","668.70","667.30","670.13","960.00","573.50",358256,"240,078,301.65",
"28-Nov-2001","EQ","688.00","688.00","663.20","682.95","666.00","666.95","670.91","960.00","573.50",669397,"449,104,979.15",
"27-Nov-2001","EQ","701.00","708.65","675.10","699.55","685.00","682.95","693.78","960.00","573.50",518171,"359,497,612.75",
"26-Nov-2001","EQ","706.25","714.90","696.25","701.95","699.80","699.55","704.58","960.00","573.50",360996,"254,351,672.50",
"23-Nov-2001","EQ","719.80","737.35","697.00","711.55","700.00","701.95","712.67","960.00","573.50",522423,"372,313,672.25",
"22-Nov-2001","EQ","705.00","724.00","705.00","703.40","713.00","711.55","715.12","960.00","573.50",752038,"537,799,257.40",
"21-Nov-2001","EQ","680.65","722.00","680.65","689.50","702.80","703.40","707.38","960.00","573.50",1420719,"1,004,987,441.65",
"20-Nov-2001","EQ","698.05","708.90","684.20","696.75","688.00","689.50","694.06","960.00","573.50",427548,"296,744,793.00",
"19-Nov-2001","EQ","690.00","712.00","688.00","683.15","696.00","696.75","703.36","960.00","573.50",1024847,"720,832,342.50",
